key,timestamp,temperature,humidity
H5074_office,2025-01-05 02:35:33,25.36,39.56
H5074_office,2025-01-05 02:35:51,25.34,39.45
H5074_office,2025-01-05 02:36:07,25.38,39.6
H5074_office,2025-01-05 02:36:23,25.39,39.53
H5074_office,2025-01-05 02:36:45,25.35,39.41
H5074_office,2025-01-05 02:37:01,25.37,39.53
H5074_office,2025-01-05 02:37:19,25.37,39.45
H5074_office,2025-01-05 02:37:36,25.37,39.56
H5074_office,2025-01-05 02:37:52,25.39,39.48
H5074_office,2025-01-05 02:38:10,25.37,39.39
H5074_office,2025-01-05 02:38:26,25.39,39.48
H5074_office,2025-01-05 02:38:42,25.38,39.44
H5074_office,2025-01-05 02:39:00,25.36,39.58
H5074_office,2025-01-05 02:39:20,25.38,39.46
H5074_office,2025-01-05 02:39:36,25.36,39.47
H5074_office,2025-01-05 02:39:52,25.37,39.48
H5074_office,2025-01-05 02:40:08,25.36,39.44
H5074_office,2025-01-05 02:40:26,25.35,39.47
H5074_office,2025-01-05 02:40:42,25.37,39.46
H5074_office,2025-01-05 02:40:58,25.31,39.45
H5074_office,2025-01-05 02:41:15,25.34,39.54
H5074_office,2025-01-05 02:41:31,25.38,39.53
H5074_office,2025-01-05 02:41:47,25.3,39.43
H5074_office,2025-01-05 02:42:07,25.34,39.53
H5074_office,2025-01-05 02:42:23,25.35,39.44
H5074_office,2025-01-05 02:42:39,25.36,39.57
H5074_office,2025-01-05 02:42:55,25.34,39.52
H5074_office,2025-01-05 02:43:11,25.33,39.35
H5074_office,2025-01-05 02:43:27,25.29,39.44
H5074_office,2025-01-05 02:43:43,25.32,39.47
H5074_office,2025-01-05 02:43:59,25.35,39.42
H5074_office,2025-01-05 02:44:15,25.35,39.4
H5074_office,2025-01-05 02:44:31,25.35,39.41
H5074_office,2025-01-05 02:44:52,25.34,39.43
H5074_office,2025-01-05 02:45:08,25.34,39.39
H5074_office,2025-01-05 02:45:28,25.34,39.4
H5074_office,2025-01-05 02:45:48,25.34,39.4
H5074_office,2025-01-05 02:46:04,25.37,39.4
H5074_office,2025-01-05 02:46:20,25.34,39.51
H5074_office,2025-01-05 02:46:36,25.36,39.43
H5074_office,2025-01-05 02:46:52,25.34,39.42
H5074_office,2025-01-05 02:47:08,25.35,39.56
H5074_office,2025-01-05 02:47:24,25.35,39.42
H5074_office,2025-01-05 02:47:40,25.36,39.26
H5074_office,2025-01-05 02:47:59,25.34,39.39
H5074_office,2025-01-05 02:48:15,25.36,39.46
H5074_office,2025-01-05 02:48:31,25.37,39.38
H5074_office,2025-01-05 02:48:47,25.35,39.41
H5074_office,2025-01-05 02:49:03,25.34,39.31
H5074_office,2025-01-05 02:49:19,25.36,39.36
H5074_office,2025-01-05 02:49:35,25.31,39.3
H5074_office,2025-01-05 02:49:51,25.34,39.36
H5074_office,2025-01-05 02:50:07,25.33,39.32
H5074_office,2025-01-05 02:50:23,25.37,39.55
H5074_office,2025-01-05 02:50:41,25.28,39.2
H5074_office,2025-01-05 02:50:57,25.33,39.37
H5074_office,2025-01-05 02:51:13,25.3,39.3
H5074_office,2025-01-05 02:51:30,25.34,39.35
H5074_office,2025-01-05 02:51:48,25.33,39.33
